*    Row   * Instance *  nscndprt *  iprntprt *  iprtscnd *  lmecscnd *   iorgprt *     tscnd * sqrt(pscn * sqrt(pprn * sqrt(pprn *
***********************************************************************************************************************************
*        5 *        0 *        73 *       111 *        22 *         5 *       111 * 1.073e-07 * 71.882940 * 63.121536 * 63.121536 *
*        5 *        1 *        73 *       111 *        22 *         5 *       111 * 1.073e-07 * 195.11785 * 283.97424 * 283.97424 *
*        5 *        2 *        73 *        22 *        11 *         6 *       111 * 0.2788745 * 113.91157 * 224.81408 * 224.81408 *
*        5 *        3 *        73 *        22 *       -11 *         6 *       111 * 0.2788745 * 34.619547 * 54.981197 * 54.981197 *
*        5 *        4 *        73 *        22 *        11 *         6 *       111 * 0.2514253 * 7.5225843 * 200.92261 * 200.92261 *
*        5 *        5 *        73 *        22 *       -11 *         6 *       111 * 0.2514253 * 72.246738 * 172.40463 * 172.40463 *
*        5 *        6 *        73 *      -211 *      -211 *        12 *      -211 *  0.154523 * 30.047515 * 76.412271 * 76.412271 *
*        5 *        7 *        73 *      -211 *      -211 *        12 *      -211 * 1.1742634 * 66.053197 * 195.19965 * 195.19963 *
*        5 *        8 *        73 *      -211 *      2112 *        12 *      -211 * 1.1742634 * 58.116005 * 126.03965 * 126.03965 *
*        5 *        9 *        73 *      -211 *      2112 *        12 *      -211 * 1.1742634 * 55.652591 * 98.061892 * 98.061892 *
*        5 *       10 *        73 *      -211 *      2212 *        12 *      -211 * 1.1742634 * 145.01175 * 275.87567 * 275.87565 *
*        5 *       11 *        73 *      -211 *      2112 *        12 *      -211 * 1.1742634 * 87.723635 * 151.21721 * 151.21721 *
*        5 *       12 *        73 *      2112 *    100045 *        18 *      -211 * 289763.12 * 502.68411 * 508.93899 * 509.95666 *
*        5 *       13 *        73 *      2112 *        22 *        18 *      -211 * 289763.12 * 2515.8438 * 2526.7646 * 2526.3460 *
*        5 *       14 *        73 *      2112 *    100045 *        18 *      -211 * 113166.97 * 4132.5706 * 4134.3119 * 4135.4411 *
*        5 *       15 *        73 *      2112 *        22 *        18 *      -211 * 113166.97 * 827.78338 * 698.74120 * 699.39016 *
*        5 *       16 *        73 *      2112 *    100045 *        18 *      -211 * 213978.18 * 3256.0533 * 3538.8111 * 3538.6794 *
*        5 *       17 *        73 *      2112 *        22 *        18 *      -211 * 213978.18 * 5295.0784 * 5801.3876 * 5802.7077 *
*        5 *       18 *        73 *      2112 *    100045 *        18 *      -211 * 915162.81 * 878.92656 * 847.02989 * 847.48888 *
*        5 *       19 *        73 *      2112 *        22 *        18 *      -211 * 915162.81 * 3254.9468 * 4319.9339 * 4319.9630 *
*        5 *       20 *        73 *      2112 *    100045 *        18 *      -211 * 215947.40 * 5379.2657 * 7086.5831 * 7088.0857 *
*        5 *       21 *        73 *      2112 *        22 *        18 *      -211 * 215947.40 * 805.95031 *    837.29 * 837.05784 *
*        5 *       22 *        73 *      2112 *    100045 *        18 *      -211 * 546919.62 * 2166.7960 * 4304.6541 * 4305.0664 *
*        5 *       23 *        73 *      2112 *        22 *        18 *      -211 * 546919.62 * 3464.4340 * 7051.2790 * 7052.5510 *
*        5 *       24 *        73 *        22 *        11 *         6 *      -211 * 546919.62 * 472.27630 *    837.29 * 837.05784 *
*        5 *       25 *        73 *        22 *       -11 *         6 *      -211 * 546919.62 * 656.86951 * 4304.6541 * 4305.0664 *
*        5 *       26 *        73 *      -211 *      -211 *        12 *      -211 * 1.1877127 * 1028.4466 * 7051.2790 * 7052.5510 *
*        5 *       27 *        73 *      -211 *       111 *        20 *      -211 * 3.7659311 * 365.73140 *    837.29 * 837.05784 *
*        5 *       28 *        73 *      -211 *      -211 *        20 *      -211 * 3.7659311 * 650.98226 * 4304.6541 * 4305.0664 *
*        5 *       29 *        73 *      -211 *      2212 *        20 *      -211 * 3.7659311 * 400.36925 * 7051.2790 * 7052.5510 *
*        5 *       30 *        73 *      -211 *       111 *        20 *      -211 * 3.7659311 * 81.397270 * 683.64442 * 683.45487 *
*        5 *       31 *        73 *      -211 *      -211 *        20 *      -211 * 3.7659311 * 122.42123 * 3514.7353 *  3515.072 *
*        5 *       32 *        73 *      -211 *      -211 *        12 *      -211 * 4.8167996 * 147.83444 * 5757.3452 * 5758.3838 *
*        5 *       33 *        73 *      -211 *       211 *        12 *      -211 * 4.8167996 * 14.526387 * 483.40960 * 483.27557 *
*        5 *       34 *        73 *      -211 *       111 *        12 *      -211 * 4.8167996 * 42.016823 * 2485.2932 * 2485.5312 *
*        5 *       35 *        73 *      -211 *      2212 *        12 *      -211 * 4.8167996 * 74.933954 * 4071.0578 * 4071.7922 *
*        5 *       36 *        73 *      -211 *      2212 *        12 *      -211 * 4.8167996 * 0.1662180 * 0.0075422 * 0.0075422 *
*        5 *       37 *        73 *      -211 *      2112 *        12 *      -211 * 4.8167996 * 1.8228446 * 0.0181910 * 0.0181910 *
*        5 *       38 *        73 *      -211 *      2112 *        12 *      -211 * 4.8167996 * 1.2643855 * 0.0026624 * 0.0026624 *
*        5 *       39 *        73 *      -211 *      2212 *        12 *      -211 * 4.8167996 * 0.4586511 * 0.0077949 * 0.0077949 *
*        5 *       40 *        73 *      -211 *      2112 *        12 *      -211 * 4.8167996 * 2.7306021 * 0.0135857 * 0.0135857 *
*        5 *       41 *        73 *      -211 *      2212 *        12 *      -211 * 4.8167996 * 1.4937132 * 0.0026466 * 0.0026466 *
*        5 *       42 *        73 *      -211 *      2212 *        12 *      -211 * 4.8167996 * 0.4275180 * 0.0065703 * 0.0065703 *
*        5 *       43 *        73 *      2112 *    100045 *        18 *      -211 * 50629.421 * 2.0331336 * 0.0078109 * 0.0078109 *
*        5 *       44 *        73 *      2112 *        22 *        18 *      -211 * 50629.421 * 0.7953070 * 0.0021532 * 0.0021532 *
*        5 *       45 *        73 *       111 *        22 *         5 *      -211 * 4.8167996 * 1.9985129 * 0.0046585 * 0.0046585 *
*        5 *       46 *        73 *       111 *        22 *         5 *      -211 * 4.8167996 * 2.2804477 * 0.0091538 * 0.0091538 *
*        5 *       47 *        73 *        22 *        11 *         6 *      -211 * 4.8393998 * 0.8385891 * 0.0015335 * 0.0015335 *
*        5 *       48 *        73 *        22 *       -11 *         6 *      -211 * 4.8393998 * 1.9522776 * 0.0091931 * 0.0091931 *
*        5 *       49 *        73 *        22 *       -11 *         6 *      -211 * 6.5411925 * 1.0328927 * 0.0089937 * 0.0089937 *
*        5 *       50 *        73 *        22 *        11 *         6 *      -211 * 6.5411925 * 0.2659414 * 0.0020082 * 0.0020082 *
*        5 *       51 *        73 *       211 *       211 *        13 *      -211 * 5.3434734 * 2.5723090 * 0.0129920 * 0.0129920 *
*        5 *       52 *        73 *       211 *       211 *        12 *      -211 * 6.8722767 * 1.4806326 * 0.0074295 * 0.0074295 *
*        5 *       53 *        73 *       211 *       -13 *         5 *      -211 * 8.9900398 * 1.0434285 * 0.0028281 * 0.0028281 *
*        5 *       54 *        73 *       211 *        12 *         5 *      -211 * 8.9900398 * 1.6749537 * 0.0129911 * 0.0129911 *
*        5 *       55 *        73 *       -13 *       -11 *         5 *      -211 * 1686.6016 * 1.0608914 * 0.0076977 * 0.0076977 *
*        5 *       56 *        73 *      -211 *      2212 *        12 *      -211 * 7.5820851 * 1.0089709 * 0.0028292 * 0.0028292 *
*        5 *       57 *        73 *       111 *        22 *         5 *      -211 * 3.7659311 * 1.7699195 * 0.0091905 * 0.0091905 *
*        5 *       58 *        73 *       111 *        22 *         5 *      -211 * 3.7659311 * 1.9147149 * 0.0094339 * 0.0094339 *
*        5 *       59 *        73 *        22 *       -11 *         6 *      -211 * 4.2254653 * 1.7603925 * 0.0020114 * 0.0020114 *
*        5 *       60 *        73 *        22 *        11 *         6 *      -211 * 4.2254653 * 0.5720448 * 0.0024255 * 0.0024255 *
*        5 *       61 *        73 *        22 *       -11 *         6 *      -211 * 4.3798389 * 1.5939589 * 0.0096050 * 0.0096050 *
*        5 *       62 *        73 *        22 *        11 *         6 *      -211 * 4.3798389 * 1.4425658 * 0.0057377 * 0.0057377 *
*        5 *       63 *        73 *      -211 *      2112 *        12 *      -211 * 4.4683084 * 0.8727274 * 0.0034060 * 0.0034060 *
*        5 *       64 *        73 *      -211 *      2112 *        12 *      -211 * 4.4683084 * 2.6207598 * 0.0081097 * 0.0081097 *
*        5 *       65 *        73 *      2112 *    100045 *        18 *      -211 * 77762.054 * 1.5058904 * 0.0081091 * 0.0081091 *
*        5 *       66 *        73 *      2112 *        22 *        18 *      -211 * 77762.054 * 0.7236338 * 0.6591126 * 0.6591126 *
*        5 *       67 *        73 *       111 *        22 *         5 *      -211 * 3.7659311 * 2.2286800 * 2.0803230 * 2.0803228 *
*        5 *       68 *        73 *       111 *        22 *         5 *      -211 * 3.7659311 * 0.5039173 * 0.4321754 * 0.4321753 *
*        5 *       69 *        73 *        22 *       -11 *         6 *      -211 * 7.5152835 * 0.7770722 * 0.9321168 * 0.9321168 *
*        5 *       70 *        73 *        22 *        11 *         6 *      -211 * 7.5152835 * 2.4581583 * 2.9420144 * 2.9420141 *
*        5 *       71 *        73 *        22 *        11 *         6 *      -211 * 5.2047481 * 0.5185083 * 0.6111076 * 0.6111076 *
*        5 *       72 *        73 *        22 *       -11 *         6 *      -211 * 5.2047481 * 658.57233 * 658.57286 * 657.97142 *
